Quantity,Name,Scryfall ID
1,"Baron, Airship Kingdom",6e4bf840-802d-47d5-bffd-8ba495e19cf6
2,Barrels of Blasting Jelly,4fd83083-3779-41f0-90a0-a00e3270e4e6
1,Barren Moor,22a7ef45-0fa0-4924-955c-27da5f6d0098
1,Barrow Ghoul,f7055007-83dd-40fe-b2a1-4b3132f636db
1,Bartolomé del Presidio,690ccdc7-6c43-4902-9d11-2f07b7a36b11
1,Bartolomé del Presidio,f82bb486-7009-4b53-973f-477fc13ad7e7
2,Basilica Shepherd,81ef3cfa-63e6-4450-af65-da7f05d13cf3
1,Basilica Stalker,fdafea8f-283d-4f19-a74a-669bfbdfed98
1,Ba Sing Se,bdf3b2be-d0cd-4a3c-a10e-82d32c12d3bd
1,Basking Capybara,ff0a2ba4-dfa8-49d6-95e9-04b7a14d0c6c
1,Bastion Enforcer,7cbf17a0-2dbc-4e79-9cfa-ea49b1605105
2,Bastion of Remembrance,6fe6ccad-e303-48f9-9dfa-0db7c1878031
1,Bat Colony,1c02134c-ec9f-4090-820e-8ba7ae4a8c2b
1,Battering Krasis,5d9aa740-9adf-412a-b6ec-0b9bb1b4618b
1,Battle-Mad Ronin,a6e4394a-fa91-4cf9-99c1-dc0bc1011c5b
1,Battle-Rage Blessing,7cfc631b-49d1-4f1c-adac-5b07a2ccd06f
2,Battle-Rattle Shaman,fee05f7e-d4da-4a72-8140-d505eecbdd32
1,Battle Screech,8577272c-d493-48c3-9a3e-5a6e896da71e
1,Beamsplitter Mage,8f1801f2-ea6e-4196-858e-2afc456cf6a0
1,Bear Cub,d8662ebb-068b-41d2-b504-4b5854e4d4aa
1,Beast-Kin Ranger,0102e0be-5783-4825-9489-713b1b1df0b2
4,Beetle-Headed Merchants,c2eed79f-38c1-4aac-9525-d54cb114f17f
1,"Beetle, Legacy Criminal",a194f930-c99f-4915-8a62-e20ab2b4ad1f
2,Behind the Mask,e522b043-fbd8-48a4-9f20-39e2a66a35ec
1,Beifong's Bounty Hunters,4f88ec3a-44a7-4ae5-a68c-24294dabaeed
2,Belligerent Guest,1bb844c4-f41c-4411-a80a-c19e1d97b272
1,Belligerent of the Ball,6658398a-46a5-4f41-9b1b-4a47f2822cf8
2,Belligerent Yearling,cf4639ca-d4dc-4630-b696-a8107767cf1a
1,Belligerent Yearling,0b2debca-8535-4cf6-a461-c268faaacaae
1,Beloved Beggar // Generous Soul,6109b54e-56c5-4014-9f6d-d5f7a0fd725d
1,Benalish Faithbonder,084d77df-a899-406f-9d79-e3fa3abeaebc
1,Bender's Waterskin,6d4a1712-d19e-4475-9614-a0b1af4da610
1,Benevolent River Spirit,7ffb79cd-d170-4047-89c8-6e85188f30da
1,Benthic Criminologists,283b6b5a-acdf-4255-a294-0964d9c62686
2,Benthic Giant,1ff8671d-4da4-4dc2-a8c4-d695ff1aca0f
1,Bestow Greatness,b6a5adee-3482-4c5b-9260-58efa8fec5ba
1,Bewitching Leechcraft,b612452e-b8a8-4a5a-82a8-01fd463cfc77
1,Bigfin Bouncer,9b1d5b76-b07e-45c6-800d-4cfce085164f
1,"Bill Ferny, Bree Swindler",20ac63cb-fa4d-4340-8062-1029c8bd5ec8
1,Biogenic Upgrade,ef20af5e-1ffe-426a-805a-ca4a6a122260
2,Biosynthic Burst,6d73a4a8-5d52-4c12-a96a-45cd202bcc62
1,Biotech Specialist,127c221f-94e7-4a0e-a7a6-79ef399862d3
1,Bishop's Soldier,16dfd7b3-6d01-4e98-aec3-b27e8e2444e8
3,Bite Down,f8d70b3b-f6f9-4b3c-ad70-0ce369e812b5
1,Bitter Chill,888e3c71-e21d-4e77-b1b6-09769f9cd3d6
1,Bitter Downfall,e4b83aa1-33ce-4b8d-ae5a-72f64eef5f09
1,Bitter Triumph,c5333556-eea2-41ae-833e-007b9d540700
1,Bitter Work,3e8de6a9-9859-4ed2-8ece-ef80a7209be9
1,"Black Cat, Cunning Thief",0ed36ada-22c8-4e40-86c5-c116a0bee1c2
1,Bladebrand,ae6f6255-865a-45fa-811d-ce477df730f2
2,Bladed Ambassador,85465be2-7327-4e1f-8a4b-d24dca4f3ada
1,Bladegraft Aspirant,2d6cf933-73fe-4e79-8d0b-29dc0f18b25d
1,Blade of the Swarm,b157330a-2652-4ed9-b8fa-8e72b4eda15c
1,Blightbelly Rat,20364e49-0948-411a-b58f-b0d12fedce43
1,Blight Pile,9dd5bcec-b766-41cd-8809-eeec7e31b39c
2,Blightwidow,26da4278-ba44-4555-8837-e24627b46533
1,Blindblast,1d49637b-2255-4f16-8f24-140145966bfa
1,Blinding Mage,173675c1-685c-4f4c-a6dc-b42a3ae69137
1,Blood Divination,6fe72bd9-825e-4451-9314-826882f75c85
1,Bloodfell Caves,49195d90-de0c-4290-aa1c-9f4d948b5521
1,Bloodfell Caves,8b90dc92-cb66-41d9-89f9-2b6e3cfc8082
1,Bloodghast,fdceefe6-f083-4955-b53a-8e6f8aeb2083
1,Bloodletter of Aclazotz,48c5b98d-73cd-4b69-9933-4867da6e8389
1,Blood Price,df14d32d-fe53-4370-8298-fab528ff12db
2,Bloodthorn Flail,db38babd-57e8-4e59-9701-11a0682baa77
1,Bloodthrone Vampire,ee7354fe-fb76-4196-a69b-0916af73bf45
1,Bloodtithe Collector,ff16d951-dd85-4d22-9505-ce6e2eaf47cf
1,Blooming Stinger,2ee859bd-d99c-4b1d-9372-7ff4fc1e8c6a
